wlr_xdg_activation_v1, new_token, wlr_xdg_activation_token_v1
wlr_xdg_activation_v1, request_activate, wlr_xdg_activation_v1_request_activate_event
wlr_xdg_decoration_manager_v1, destroy, wlr_xdg_decoration_manager_v1
wlr_xdg_decoration_manager_v1, new_toplevel_decoration, wlr_xdg_toplevel_decoration_v1
wlr_xdg_dialog_v1, destroy, nullptr_t
wlr_xdg_dialog_v1, set_modal, nullptr_t
wlr_xdg_foreign_exported, destroy, nullptr_t
wlr_xdg_foreign_registry, destroy, nullptr_t
wlr_xdg_foreign_v1, destroy, nullptr_t
wlr_xdg_foreign_v2, destroy, nullptr_t
wlr_xdg_output_manager_v1, destroy, wlr_xdg_output_manager_v1
wlr_xdg_popup, destroy, nullptr_t
wlr_xdg_popup, reposition, nullptr_t
wlr_xdg_shell, destroy, wlr_xdg_shell
wlr_xdg_shell, new_popup, wlr_xdg_popup
wlr_xdg_shell, new_surface, wlr_xdg_surface
wlr_xdg_shell, new_toplevel, wlr_xdg_toplevel
wlr_xdg_surface, ack_configure, wlr_xdg_surface_configure
wlr_xdg_surface, configure, wlr_xdg_surface_configure
wlr_xdg_surface, destroy, nullptr_t
wlr_xdg_surface, new_popup, wlr_xdg_popup
wlr_xdg_surface, ping_timeout, nullptr_t
wlr_xdg_toplevel, destroy, nullptr_t
wlr_xdg_toplevel, request_fullscreen, nullptr_t
wlr_xdg_toplevel, request_maximize, nullptr_t
wlr_xdg_toplevel, request_minimize, nullptr_t
wlr_xdg_toplevel, request_move, wlr_xdg_toplevel_move_event
wlr_xdg_toplevel, request_resize, wlr_xdg_toplevel_resize_event
wlr_xdg_toplevel, request_show_window_menu, wlr_xdg_toplevel_show_window_menu_event
wlr_xdg_toplevel, set_app_id, nullptr_t
wlr_xdg_toplevel, set_parent, nullptr_t
wlr_xdg_toplevel, set_title, nullptr_t
wlr_xdg_toplevel_decoration_v1, destroy, wlr_xdg_toplevel_decoration_v1
wlr_xdg_toplevel_decoration_v1, request_mode, wlr_xdg_toplevel_decoration_v1
wlr_xdg_toplevel_icon_manager_v1, destroy, nullptr_t
